"             Sales, Purchase & Closing Stock 01-08-2022-01-08-2022",,,
SNo.,ITEM DESCRIPTION,PURCHASE,C.STOCK REMARK
539,UDILIV 300MG TAB              1*15TAB,0,6
540,ULTRACET TAB                  1*15TAB,0,1
541,UNICOBAL FORTE TAB            1*10TAB,0,3
542,UNISTAR 20/75 TAB             1*10TAB,4,2
543,UNISTAR 75MG CAP              1*15TAB,0,7
544,URIMAX D CAP                  1*15CAP,0,15
545,UTAMIDE 50MG TAB              1*10TAB,3,5
546,V-TOTAL SYP                   200ML,0,1
547,VALERA M 1000 TAB             1*15TAB,0,0
548,VALPARIN 200MG TAB            1*10TAB,10,15
549,VALPARIN SYP                  200ML,6,7
550,VB7 HAIR TAB                  1*10TAB,0,3
551,VELTAM 0.4MG TAB              1*15TAB,0,5
552,VELTAM S TAB                  10+10 TAB,1,0
553,VENIZ XR 75MG TAB             1*10TAB,0,0
554,VENTIFLO 100 CAP              1X10,10,11
555,VERTIGA 16 MG TAB             1*10TAB,5,5
556,VILPOWER-M500                 1*10,0,1
557,VINLEP 300MG TAB              1*10TAB,0,12
558,VINLEP 450MG TAB              1*10TAB,0,5
559,VIZYLAC CAP                   1*15CAP,0,7
560,VOGLI M 0.3 TAB               1*10TAB,0,8
561,VOGS GM 1MG TAB               1*10TAB,0,6
562,VOLINI GEL                    75GM,0,1
563,VOLIX M 0.3MG TAB             1*10TAB,0,8
564,VOLIX TRIO 2MG TAB            1*10TAB,0,7
565,VOMIDAY TAB                   1*10TAB,0,1
566,VOVERAN MAX GEL               30GM,2,3
567,WEPOX 4000IU                  0.4ML,0,1
568,WHISPER CHOICE ULTRA          6PCS,0,39
569,WHISPER ULTA XL+30            30PICS,0,6
570,WYSOLONE 10MG TAB             1*15TAB,16,17
571,XGAIN SHAMPOO                 100ML,0,0
572,YEES-D CAP                    1*10CAP,0,5
573,ZAMLO-AT TAB                  1*10TAB,10,11
574,ZAPIZ 0.5MG TAB               1*10TAB,0,7
575,ZENOX OD TAB                  1*10TAB,5,7
576,ZENOXA 450MG TAB              1*10TAB,10,14
577,ZEPAM 0.5MG TAB               1*10TAB,20,20
578,ZEPKON PLUS TAB               1*10TAB,0,0
579,ZERODOL P TAB                 1*10TAB,0,9
580,ZERODOL TH 4MG TAB            1*10TAB,0,3
581,ZEROLAC POWDER                400GM,0,0
582,ZIFI 200MG TAB                1*10TAB,0,2
583,ZINCOVIT DROP                 15ML,0,2
584,ZINCOVIT TAB                  1*15TAB,0,4
585,ZITA MET PLUS 20/1000 TAB     1*15TAB,0,4
586,ZOLCALM 5 TAB                 1*10TAB,0,2
587,ZOLFRESH 10MG TAB             1*15TAB,0,3
588,ZOMELIS D TAB                 1*10TAB,0,2
589,ZOMELIS MET 50/500MG TAB      1*10TAB,0,5
590,ZORYL 1MG TAB                 1*15TAB,0,0
